"country","name"
"CAN","sam zakutney"
"CAN","rene cournoyer"
"CAN","felix dolci"
"CAN","zachary clay"
"CAN","kenji tamane"
"CHN","boheng zhang"
"CHN","cong shi"
"CHN","xingyu lan"
"CHN","jiaxing yang"
"CHN","wei sun"
"ESP","joel plata"
"ESP","nestor abad"
"ESP","nicolau mir"
"ESP","thierno diallo"
"ESP","adria vera"
"GBR","jake jarman"
"GBR","joe fraser"
"GBR","james hall"
"GBR","jamie lewis"
"GBR","joshua nathan"
"GER","lukas dauser"
"GER","pascal brendel"
"GER","glenn trebing"
"GER","andreas toba"
"GER","milan hosseini"
"ITA","mario macchiati"
"ITA","nicola bartolini"
"ITA","yumin abbadini"
"ITA","lorenzo bonicelli"
"ITA","lorenzo minh casali"
"JPN","daiki hashimoto"
"JPN","kazuma kaya"
"JPN","tsuyoshi hasegawa"
"JPN","takeru kitazono"
"JPN","wataru tanigawa"
"NED","casimir schmidt"
"NED","jordi hagenaar"
"NED","jermain gruenberg"
"NED","martijn de veer"
"NED","yazz ramsahai"
"SUI","noe seifert"
"SUI","florian langenegger"
"SUI","samir serhani"
"SUI","ian michael raubal"
"SUI","marco pfyl"
"TUR","adem asil"
"TUR","ahmet onder"
"TUR","kerem sener"
"TUR","mehmet ayberk"
"TUR","ferhat arican"
"UKR","illia kovtun"
"UKR","petro pakhniuk"
"UKR","pantely kolodii"
"UKR","nazar chepurnyi"
"UKR","oleg verniaiev"
"BEL","maxime gentges"
"BRA","caio souza"
"KOR","sunghyun ryu"
NA,"andrei vasile muntean"
NA,"artem dolgopyat"
NA,"artur davtyan"
NA,"carlos edriel yulo"
NA,"diogo soares"
NA,"eleftherios petrounias"
NA,"junho lee"
NA,"kevin penev"
NA,"krisztofer meszaros"
NA,"luka van den keybus"
NA,"milad karimi"
NA,"noah kuavita"
NA,"rhys mc clenaghan"
NA,"tin srbic"
NA,"clay masonstephens"
NA,"marios georgiou"
NA,"chia hung tang"
NA,"chih lee"
NA,"ilias georgiou"
NA,"jossimar orlando calvo moreno"
NA,"jesse moore"
NA,"sofus heggemsnes"
NA,"botond molnar"
NA,"dominick cunningham"
NA,"gabriel burtanete"
NA,"khabibullo ergashev"
NA,"arthur mariano"
NA,"mikhail koudinov"
NA,"daniel lee"
NA,"jinseong yun"
NA,"omar mohamed"
NA,"mohamed afify"
NA,"robert tvorogal"
