"country","name"
"AUS","georgia godwin"
"AUS","romi brown"
"AUS","ruby pass"
"AUS","emily whitehead"
"AUS","amanda edwards"
"BRA","rebeca andrade"
"BRA","flavia saraiva"
"BRA","jade barbosa"
"BRA","julia das neves botega soares"
"BRA","lorrane oliveira"
"CAN","elsabeth black"
"CAN","emma spence"
"CAN","aurelie tran"
"CAN","ava stewart"
"CAN","jenna lalonde"
"CHN","yushan ou"
"CHN","huan luo"
"CHN","qiyuan qiu"
"CHN","qingying zhang"
"CHN","xiaoyuan wei"
"FRA","melanie de jesus dos santos"
"FRA","marine boyer"
"FRA","carolann heduit"
"FRA","aline friess"
"FRA","morgane osyssek"
"GBR","jessica gadirova"
"GBR","alice kinsella"
"GBR","ondine achampong"
"GBR","ruby evan"
"GBR","georgia mae fenton"
"ITA","elisa iorio"
"ITA","alice d amato"
"ITA","asia d amato"
"ITA","martina maggio"
"ITA","manila esposito"
"JPN","ayaka sakaguchi"
"JPN","shoko miyata"
"JPN","chiharu yamada"
"JPN","mana okamura"
"JPN","kohane ushioku"
"KOR","seojeong yeo"
"KOR","solyi shin"
"KOR","yunseo lee"
"KOR","dohyun eom"
"KOR","dayeong lee"
"NED","naomi visser"
"NED","eythora thorsdottir"
"NED","vera pol"
"NED","sanna veerman"
"NED","tisha volleman"
"ROU","ana barbosu"
"ROU","andreea preda"
"ROU","sabrina maneca voinea"
"ROU","amalia ghigoarta"
"ROU","ioana stanciulescu"
"GER","kim bui"
"HUN","zsofia kovacs"
"MEX","natalia escalera"
NA,"ahtziri sandoval"
NA,"alba petisco"
NA,"aleah finnegan"
NA,"alexa moreno"
NA,"ana perez"
NA,"anna lashchevska"
NA,"bettina lili czifra"
NA,"caitlin rooskrantz"
NA,"csenge maria bacskay"
NA,"filipa martins"
NA,"hillary heron"
NA,"kaylia nemour"
NA,"lena bickel"
NA,"lihie raz"
NA,"lucija hribar"
NA,"pauline schaefer betz"
NA,"sarah voss"
NA,"sona artamonova"
NA,"rifda irfanaluthfi"
NA,"sonhyang kim"
NA,"lisa vaelen"
NA,"changok an"
NA,"maisa kuusikko"
NA,"sujong kim"
NA,"maellyse brassart"
NA,"sydney barros"
NA,"anna lena koenig"
NA,"emma malewski"
NA,"lorena medina"
NA,"tonya paulsson"
NA,"poppy stickler"
NA,"caleigh anders"
NA,"karina schoenmaier"
