"country","name"
"CAN","felix dolci"
"CAN","rene cournoyer"
"CAN","william emard"
"CAN","zachary clay"
"CAN","sam zakutney"
"CHN","boheng zhang"
"CHN","jiaxing yang"
"CHN","cong shi"
"CHN","xingyu lan"
"CHN","wei sun"
"ESP","joel plata"
"ESP","nestor abad"
"ESP","thierno diallo"
"ESP","nicolau mir"
"ESP","joshua jack williams"
"GBR","joe fraser"
"GBR","james hall"
"GBR","jake jarman"
"GBR","jamie lewis"
"GBR","adam tobin"
"GER","lukas dauser"
"GER","andreas toba"
"GER","milan hosseini"
"GER","glenn trebing"
"GER","pascal brendel"
"ITA","nicola bartolini"
"ITA","mario macchiati"
"ITA","lorenzo minh casali"
"ITA","yumin abbadini"
"ITA","lorenzo bonicelli"
"JPN","daiki hashimoto"
"JPN","kazuma kaya"
"JPN","kenta chiba"
"JPN","kakeru tanigawa"
"JPN","wataru tanigawa"
"NED","casimir schmidt"
"NED","martijn de veer"
"NED","jordi hagenaar"
"NED","jermain gruenberg"
"NED","yazz ramsahai"
"SUI","noe seifert"
"SUI","florian langenegger"
"SUI","ian michael raubal"
"SUI","samir serhani"
"SUI","andrin frey"
"TUR","adem asil"
"TUR","ahmet onder"
"TUR","mehmet ayberk"
"TUR","kerem sener"
"TUR","ferhat arican"
"UKR","illia kovtun"
"UKR","radomyr stelmakh"
"UKR","petro pakhniuk"
"UKR","oleg verniaiev"
"UKR","pantely kolodii"
"BEL","maxime gentges"
"BRA","caio souza"
"KOR","sunghyun ryu"
NA,"rhys mc clenaghan"
NA,"artur davtyan"
NA,"artem dolgopyat"
NA,"milad karimi"
NA,"luka van den keybus"
NA,"noah kuavita"
NA,"junho lee"
NA,"krisztofer meszaros"
NA,"andrei vasile muntean"
NA,"kevin penev"
NA,"eleftherios petrounias"
NA,"diogo soares"
NA,"tin srbic"
NA,"carlos edriel yulo"
NA,"marios georgiou"
NA,"bernardo actos andrade de souza miranda"
NA,"chia hung tang"
NA,"ilias georgiou"
NA,"paul degouy"
NA,"mikhail koudinov"
NA,"tomas florencio"
NA,"chih lee"
NA,"felipe martinez moreno"
NA,"mohamed afify"
NA,"arthur mariano"
NA,"victor martinez"
NA,"sofus heggemsnes"
NA,"khabibullo ergashev"
NA,"yuri guimaraes"
NA,"omar mohamed"
NA,"ivan tikhonov"
NA,"oskar kirmes"
NA,"jaeho kim"
