"country","name"
"BEL","maxime gentges"
"BRA","caio souza"
"KOR","sunghyun ryu"
"IRL","rhys mc clenaghan"
"ARM","artur davtyan"
"ISR","artem dolgopyat"
"KAZ","milad karimi"
"BEL","luka van den keybus"
"BEL","noah kuavita"
"KOR","junho lee"
"HUN","krisztofer meszaros"
"ROU","andrei vasile muntean"
"BUL","kevin penev"
"GRE","eleftherios petrounias"
"BRA","diogo soares"
"CRO","tin srbic"
"PHI","carlos edriel yulo"
"COL","felipe martinez moreno"
"CYP","marios georgiou"
"TPE","chih lee"
"CYP","ilias georgiou"
"UZB","abdulla azimov"
"TPE","chia hung tang"
"AUS","clay masonstephens"
"JEY","daniel lee"
"MEX","isaac farfan"
"NOR","sofus heggemsnes"
"EGY","omar mohamed"
"FRA","leo saladino"
"UZB","utkirbek juraev"
"BRA","bernardo actos andrade de souza miranda"
"AUS","jesse moore"
"UZB","khabibullo ergashev"
"HUN","botond molnar"
"HUN","krisztian balazs"
"BRA","yuri monteverde"
