"country","name"
"GER","karina schoenmaier"
"HUN","zsofia kovacs"
"MEX","natalia escalera"
"CZE","sona artamonova"
"HUN","csenge maria bacskay"
"SUI","lena bickel"
"HUN","bettina lili czifra"
"PHI","aleah finnegan"
"PAN","hillary heron"
"SLO","lucija hribar"
"UKR","anna lashchevska"
"POR","filipa martins"
"MEX","alexa moreno"
"ALG","kaylia nemour"
"ESP","ana perez"
"ESP","alba petisco"
"ISR","lihie raz"
"RSA","caitlin rooskrantz"
"MEX","ahtziri sandoval"
"GER","pauline schaefer betz"
"GER","sarah voss"
"PRK","sonhyang kim"
"BEL","lisa vaelen"
"BEL","jutta verkest"
"FIN","maisa kuusikko"
"PRK","sujong kim"
"PRK","changok an"
"BEL","maellyse brassart"
"GER","kim bui"
"BEL","noemie louon"
"HUN","zoja szekely"
"GER","emma malewski"
"SWE","tonya paulsson"
"ESP","laura casabuena"
"TPE","yi-chun liao"
"INA","rifda irfanaluthfi"
