"country","name"
"CAN","rene cournoyer"
"CAN","felix dolci"
"CAN","sam zakutney"
"CAN","william emard"
"CAN","zachary clay"
"CHN","boheng zhang"
"CHN","cong shi"
"CHN","xingyu lan"
"CHN","jiaxing yang"
"CHN","wei sun"
"ESP","joel plata"
"ESP","nestor abad"
"ESP","thierno diallo"
"ESP","nicolau mir"
"ESP","adria vera"
"GBR","joe fraser"
"GBR","jake jarman"
"GBR","james hall"
"GBR","joshua nathan"
"GBR","adam tobin"
"GER","andreas toba"
"GER","lukas dauser"
"GER","lucas kochan"
"GER","pascal brendel"
"GER","glenn trebing"
"ITA","nicola bartolini"
"ITA","yumin abbadini"
"ITA","lorenzo bonicelli"
"ITA","lorenzo minh casali"
"ITA","matteo levantesi"
"JPN","daiki hashimoto"
"JPN","wataru tanigawa"
"JPN","kazuma kaya"
"JPN","tsuyoshi hasegawa"
"JPN","kenta chiba"
"NED","casimir schmidt"
"NED","jordi hagenaar"
"NED","jermain gruenberg"
"NED","martijn de veer"
"NED","yazz ramsahai"
"SUI","ian michael raubal"
"SUI","noe seifert"
"SUI","florian langenegger"
"SUI","andrin frey"
"SUI","marco pfyl"
"TUR","adem asil"
"TUR","ahmet onder"
"TUR","mehmet ayberk"
"TUR","kerem sener"
"TUR","ferhat arican"
"UKR","illia kovtun"
"UKR","radomyr stelmakh"
"UKR","petro pakhniuk"
"UKR","pantely kolodii"
"UKR","oleg verniaiev"
"BEL","maxime gentges"
"BRA","caio souza"
"KOR","sunghyun ryu"
"IRL","rhys mc clenaghan"
"ARM","artur davtyan"
"ISR","artem dolgopyat"
"KAZ","milad karimi"
"BEL","luka van den keybus"
"BEL","noah kuavita"
"KOR","junho lee"
"HUN","krisztofer meszaros"
"ROU","andrei vasile muntean"
"BUL","kevin penev"
"GRE","eleftherios petrounias"
"BRA","diogo soares"
"CRO","tin srbic"
"PHI","carlos edriel yulo"
"COL","felipe martinez moreno"
"CYP","marios georgiou"
"TPE","chih lee"
"CYP","ilias georgiou"
"UZB","abdulla azimov"
"TPE","chia hung tang"
"AUS","clay masonstephens"
"JEY","daniel lee"
"MEX","isaac farfan"
"NOR","sofus heggemsnes"
"EGY","omar mohamed"
"FRA","leo saladino"
"UZB","utkirbek juraev"
"BRA","bernardo actos andrade de souza miranda"
"AUS","jesse moore"
"UZB","khabibullo ergashev"
"HUN","botond molnar"
"HUN","krisztian balazs"
"BRA","yuri monteverde"
