"country","name"
"CAN","rene cournoyer"
"CAN","felix dolci"
"CAN","sam zakutney"
"CAN","william emard"
"CAN","zachary clay"
"CHN","boheng zhang"
"CHN","cong shi"
"CHN","xingyu lan"
"CHN","jiaxing yang"
"CHN","wei sun"
"ESP","joel plata"
"ESP","nestor abad"
"ESP","thierno diallo"
"ESP","nicolau mir"
"ESP","adria vera"
"GBR","joe fraser"
"GBR","jake jarman"
"GBR","james hall"
"GBR","joshua nathan"
"GBR","adam tobin"
"GER","andreas toba"
"GER","lukas dauser"
"GER","lucas kochan"
"GER","pascal brendel"
"GER","glenn trebing"
"ITA","nicola bartolini"
"ITA","yumin abbadini"
"ITA","lorenzo bonicelli"
"ITA","lorenzo minh casali"
"ITA","matteo levantesi"
"JPN","daiki hashimoto"
"JPN","wataru tanigawa"
"JPN","kazuma kaya"
"JPN","tsuyoshi hasegawa"
"JPN","kenta chiba"
"NED","casimir schmidt"
"NED","jordi hagenaar"
"NED","jermain gruenberg"
"NED","martijn de veer"
"NED","yazz ramsahai"
"SUI","ian michael raubal"
"SUI","noe seifert"
"SUI","florian langenegger"
"SUI","andrin frey"
"SUI","marco pfyl"
"TUR","adem asil"
"TUR","ahmet onder"
"TUR","mehmet ayberk"
"TUR","kerem sener"
"TUR","ferhat arican"
"UKR","illia kovtun"
"UKR","radomyr stelmakh"
"UKR","petro pakhniuk"
"UKR","pantely kolodii"
"UKR","oleg verniaiev"
