"country","name"
"AUS","georgia godwin"
"AUS","emily whitehead"
"AUS","romi brown"
"AUS","macy pegoli"
"AUS","ruby pass"
"BRA","rebeca andrade"
"BRA","flavia saraiva"
"BRA","jade barbosa"
"BRA","julia das neves botega soares"
"BRA","carolyne mercer winche pedro"
"CAN","elsabeth black"
"CAN","aurelie tran"
"CAN","ava stewart"
"CAN","emma spence"
"CAN","jenna lalonde"
"CHN","yushan ou"
"CHN","huan luo"
"CHN","xijing tang"
"CHN","qiyuan qiu"
"CHN","tong zuo"
"FRA","melanie de jesus dos santos"
"FRA","aline friess"
"FRA","carolann heduit"
"FRA","marine boyer"
"FRA","morgane osyssek"
"GBR","jessica gadirova"
"GBR","alice kinsella"
"GBR","ondine achampong"
"GBR","jennifer gadirova"
"GBR","rebecca downie"
"ITA","alice d amato"
"ITA","asia d amato"
"ITA","manila esposito"
"ITA","martina maggio"
"ITA","angela andreoli"
"JPN","rina kishi"
"JPN","shoko miyata"
"JPN","ayaka sakaguchi"
"JPN","nanami yamamoto"
"JPN","chiharu yamada"
"KOR","yunseo lee"
"KOR","solyi shin"
"KOR","seojeong yeo"
"KOR","dohyun eom"
"KOR","sumin lim"
"NED","eythora thorsdottir"
"NED","naomi visser"
"NED","elisabeth geurts"
"NED","vera pol"
"NED","sanna veerman"
"ROU","ana barbosu"
"ROU","ioana stanciulescu"
"ROU","andreea preda"
"ROU","sabrina maneca voinea"
"ROU","amalia ghigoarta"
"GER","karina schoenmaier"
"HUN","zsofia kovacs"
"MEX","natalia escalera"
"CZE","sona artamonova"
"HUN","csenge maria bacskay"
"SUI","lena bickel"
"HUN","bettina lili czifra"
"PHI","aleah finnegan"
"PAN","hillary heron"
"SLO","lucija hribar"
"UKR","anna lashchevska"
"POR","filipa martins"
"MEX","alexa moreno"
"ALG","kaylia nemour"
"ESP","ana perez"
"ESP","alba petisco"
"ISR","lihie raz"
"RSA","caitlin rooskrantz"
"MEX","ahtziri sandoval"
"GER","pauline schaefer betz"
"GER","sarah voss"
"INA","rifda irfanaluthfi"
"PRK","sonhyang kim"
"BEL","lisa vaelen"
"BEL","jutta verkest"
"FIN","maisa kuusikko"
"PRK","sujong kim"
"PRK","changok an"
"BEL","maellyse brassart"
"GER","kim bui"
"BEL","noemie louon"
"HUN","zoja szekely"
"GER","emma malewski"
"SWE","tonya paulsson"
"ESP","laura casabuena"
"TPE","yi-chun liao"
