"country","name"
"AUS","georgia godwin"
"AUS","emily whitehead"
"AUS","romi brown"
"AUS","macy pegoli"
"AUS","ruby pass"
"BRA","rebeca andrade"
"BRA","flavia saraiva"
"BRA","jade barbosa"
"BRA","julia das neves botega soares"
"BRA","carolyne mercer winche pedro"
"CAN","elsabeth black"
"CAN","aurelie tran"
"CAN","ava stewart"
"CAN","emma spence"
"CAN","jenna lalonde"
"CHN","yushan ou"
"CHN","huan luo"
"CHN","xijing tang"
"CHN","qiyuan qiu"
"CHN","tong zuo"
"FRA","melanie de jesus dos santos"
"FRA","aline friess"
"FRA","carolann heduit"
"FRA","marine boyer"
"FRA","morgane osyssek"
"GBR","jessica gadirova"
"GBR","alice kinsella"
"GBR","ondine achampong"
"GBR","jennifer gadirova"
"GBR","rebecca downie"
"ITA","alice d amato"
"ITA","asia d amato"
"ITA","manila esposito"
"ITA","martina maggio"
"ITA","angela andreoli"
"JPN","rina kishi"
"JPN","shoko miyata"
"JPN","ayaka sakaguchi"
"JPN","nanami yamamoto"
"JPN","chiharu yamada"
"KOR","yunseo lee"
"KOR","solyi shin"
"KOR","seojeong yeo"
"KOR","dohyun eom"
"KOR","sumin lim"
"NED","eythora thorsdottir"
"NED","naomi visser"
"NED","elisabeth geurts"
"NED","vera pol"
"NED","sanna veerman"
"ROU","ana barbosu"
"ROU","ioana stanciulescu"
"ROU","andreea preda"
"ROU","sabrina maneca voinea"
"ROU","amalia ghigoarta"
