"country","name"
"AUS","georgia godwin"
"AUS","emily whitehead"
"AUS","romi brown"
"AUS","ruby pass"
"AUS","annabelle burrows"
"BRA","rebeca andrade"
"BRA","flavia saraiva"
"BRA","jade barbosa"
"BRA","julia das neves botega soares"
"BRA","lorrane oliveira"
"CAN","elsabeth black"
"CAN","ava stewart"
"CAN","emma spence"
"CAN","aurelie tran"
"CAN","sydney turner"
"CHN","yushan ou"
"CHN","tong zuo"
"CHN","qiyuan qiu"
"CHN","huan luo"
"CHN","jin zhang"
"FRA","melanie de jesus dos santos"
"FRA","carolann heduit"
"FRA","aline friess"
"FRA","marine boyer"
"FRA","morgane osyssek"
"GBR","ondine achampong"
"GBR","jessica gadirova"
"GBR","alice kinsella"
"GBR","georgia mae fenton"
"GBR","ruby evan"
"ITA","asia d amato"
"ITA","alice d amato"
"ITA","martina maggio"
"ITA","manila esposito"
"ITA","elisa iorio"
"JPN","shoko miyata"
"JPN","nanami yamamoto"
"JPN","mikako serita"
"JPN","chiharu yamada"
"JPN","ayaka sakaguchi"
"KOR","seojeong yeo"
"KOR","yunseo lee"
"KOR","solyi shin"
"KOR","dayeong lee"
"KOR","sumin lim"
"NED","naomi visser"
"NED","eythora thorsdottir"
"NED","vera pol"
"NED","sanna veerman"
"NED","tisha volleman"
"ROU","ana barbosu"
"ROU","sabrina maneca voinea"
"ROU","ioana stanciulescu"
"ROU","amalia ghigoarta"
"ROU","andreea preda"
"GER","kim bui"
"HUN","zsofia kovacs"
"MEX","natalia escalera"
NA,"sona artamonova"
NA,"csenge maria bacskay"
NA,"lena bickel"
NA,"bettina lili czifra"
NA,"aleah finnegan"
NA,"hillary heron"
NA,"lucija hribar"
NA,"anna lashchevska"
NA,"filipa martins"
NA,"alexa moreno"
NA,"kaylia nemour"
NA,"ana perez"
NA,"alba petisco"
NA,"lihie raz"
NA,"caitlin rooskrantz"
NA,"ahtziri sandoval"
NA,"pauline schaefer betz"
NA,"sarah voss"
NA,"rifda irfanaluthfi"
NA,"sonhyang kim"
NA,"lisa vaelen"
NA,"changok an"
NA,"maisa kuusikko"
NA,"maellyse brassart"
NA,"jutta verkest"
NA,"emma malewski"
NA,"sujong kim"
NA,"sydney barros"
NA,"zoja szekely"
NA,"tonya paulsson"
NA,"sandra elsadek"
NA,"lorena medina"
NA,"yelyzaveta hubareva"
